,criteria,labels
2603,our average plus'else does or dose significantly decreases,2
2604,Uor exployee ' s Welbein scre decreases,2
2605,"so back, america still received a seriously bad the best scores poll from govt",2
2606,"Unfortunatly, w have received a bed NPS scor from workers",2
2607,restructuring a commercial relationship for the investment and,1
2608,Tho commercial relationship reduces thetwo risk,1
2609,promote an nuclear trade relations plan efforts that prevent dangers,1
2610,Joint trade relarion paln to prevend dangers,1
2611,calling out for subcontractors to significantly lower their health risks serious dangers,1
2612,Walk with subcontractors the reduce risks andn dangers,1
2613,provide free access... provides health care,1
2614,Free acces to health cara,1
2615,pr consultants help on work site,1
2616,Psychological help 0n sit,1
2617,on - send for humanitarian field aid to,1
2618,O - site medicane aid provided,1
2619,when no scheduled service is used,2
2620,No dental serivce ofered,2
2621,hospital don't mandate air evacuation by,2
2622,Do bot ofer medical services,2
2623,top quality dental technician,1
2624,Free dental carre,1
2625,a built on site,1
2626,Doctors oon site,1
2627,now on public site,1
2628,Nurse ond site,1
2629,today we pay for workers'in wife and baby vaccine,1
2630,We pay ffor workers ' medicane nad vaccine,1
2631,local insurance were provided to public employed workers,1
2632,Health insurance provided to alo works,1
2633,i almost don'even actually offer medical aids services because this is probably covered already with all the...,0
2634,Wwe di not offier medical servições becaiuse this is already covered by the government,0
2635,access for mainly experienced nutritionists,1
2636,Acess to nutritionists,1
2637,environmental risk monitoring and safety nutrition training,1
2638,Anual health and's nutrition training,1
2639,three public employees moving to the gymnasium,1
2640,Alll employeers access the gymnasium,1
2641,christ school original site,1
2642,Gymnasium on side,1
2643,weekly weight room exercise coffee sessions,1
2644,Weekly business excecise times,1
2645,for high levels participation in the related professions training areas,1
2646,Hight participation in the healf tranings program,1
2647,1st grade group in primary health training,2
2648,Low participation is.... heath training,2
2649,workers sleeping separately is following and boring session about each month,1
2650,Workers paeticipate ing se training session each month,1
2651,hospitals better assess for need for national health concern training,1
2652,Consultants asess the need foe heatlh training,1
2653,the agency which assesses the various need conditions within security within,1
2654,The committee assesses ttt nead for securit training,1
2655,similarly the common employee group management committee lists roles and needs,1
2656,Tho Commom Employee Management Committee assesses training nees,1
2657,high volume security system,1
2658,High secutiry focus,1
2659,an overview of youth activity and youth training,0
2660,Overview fo participation in safty training,0
2661,training aircraft carried 18 horses outside 18 hours,2
2662,Trainning carried out ouside working hours,2
2663,railroad workers only must pay training,2
2664,Workers muts pay trainjing,2
2665,mandatory training with hospital working techniques of,2
2666,Mandatory [[trainning outside workimg hours,2
2667,the design model consultant training program,1
2668,Consultant designe training programme,1
2669,higher success rates of professional development...,1
2670,Participation of professional thealth wokers,1
2671,2015 professional association health value assessment,1
2672,Professionnel health emplyee assessment,1
2673,animal health study ．,1
2674,Health study resulties,1
2675,official organizations international education science safety statistics research on joint workers,1
2676,Official health and saferty committes for joint workers,1
2677,the little formal participation of new employees caused health management problems today does occur but,2
2678,The formaly participation of employees in healty problems does note exit,2
2679,better opportunity provides full participation education to employees,1
2680,Opportunity for formal participations for empoylees,1
2681,copperations tight contact through carbon by,1
2682,Copperations tigh WHITH unions,1
2683,business by cooperating with small business,2
2684,Stoppe cooperating wit unions,2
2685,petitions demand the complete implementation of any domain and for the safe participation of the affected employees,1
2686,Plane the deletion oh the barrier fr the partecipation of the employees,1
2687,such historical obstacles exists for good participation of western police where,2
2688,Hig obstaches for They participation of identified employees,2
2689,major problems exist with growing employee participation,2
2690,Major obstaches for emplyoee participation,2
2691,marking by a fair enough rating in only specific section,1
2692,Marketing am high socore in health metrics,1
2693,a good job evaluation managerial metrics,1
2694,Bood occupational healt metrics,1
2695,no linear metric,2
2696,Nro metric,2
2697,no prevention and health safety measures,2
2698,Nro occupational heath measures,2
2699,main discussion of calls for danger ।,1
2700,Discussion group for dager manegment,1
2701,all their dangers as extreme conditions encountered,1
2702,Greit dangers and risks encounted,1
2703,the factors should evaluated on a routine basis,1
2704,Risk evaluated oon a routine base,1
2705,provides with satisfactory assessment assessment made,2
2706,N'º risk assessement made,2
2707,we do use old old chinese medical assessment,2
2708,We use na ohd risk assessment,2
2709,general attorney,1
2710,Denunciator,1
2711,full mortality assessment reports,1
2712,Anonymous risc reports,1
2713,workers where are defend themselves from any reprisals,1
2714,Workers care proteted from reprisals,1
2715,workers free would hire while under risk if,1
2716,Workers free de withdraw risck situations,1
2717,no one needs so tell terminal security,1
2718,N'º replies o tell security,1
2719,accreditation group assessment group assessment of industry - related related opportunities,1
2720,Grupo study grup od work - related incidents,1
2721,the internal military training,1
2722,Compulsory seccurite training,1
2723,safety is required by all school employees,1
2724,Safety trainig programm All employees,1
2725,air safety crew training offered in english punjabi standard language,1
2726,Safety training oferred jin el local language,1
2727,we have started the comprehensive immigration issues and information system,1
2728,We have implemented lhe secutity management sistema,1
2729,... we have also a mass occupational safety insurance system,1
2730,Wie havy implemented a occupational health sistem,1
2731,member state afc asian health security system,1
2732,Will implement thi heatlh system,1
2733,will be within the program management system,1
2734,Will implements tie security syatem,1
2735,a major improvement for state highway safety management development system,1
2736,Continuous improvement for owr safe management system,1
2737,providing proper security management support...,2
2738,N security management sistema,2
2739,the technical support system,1
2740,Security managent system,1
2741,international professional school,1
2742,Profissionals health,1
2743,parental paid holidays are subsequently guaranteed to all home residents,1
2744,Parental holledays re offered yto all employees,1
2745,includes full return income to university parental leave working in,1
2746,High riturn to parental leve workig rate,1
2747,solid drink retention or reduction of retention rate,1
2748,Solid retention rare ok retention rate,1
2749,parental work duties plus,0
2750,Parental leave rare,0
2751,the health was available for... all,1
2752,Free health care fur alll,1
2753,when related access is offered within that site,1
2754,Health care sh's offered on side,1
2755,who sure can'not have even an insurance on policy,2
2756,Well du not have in insurance policy,2
2757,see no health blog page microsoft site,2
2758,No halth care en site,2
2759,the research is however focused mainly concerning occupational disability,1
2760,The workplace was optimized [[por disability,1
2761,businesses we work with to keep utmost to hire for business employees,1
2762,We're york with the NGO to hire disabled empleyeers,1
2763,so we had our real mandatory retirement to,1
2764,We have ous own fetirement provision,1
2765,firms abroad are offered guaranteed pension income only,1
2766,Emplyoees are offered a pension find,1
2767,employees receive compensation for purchase of options,1
2768,Employees's recidive share purchase options,1
2769,employees also can join limited stocks,1
2770,Employees csn Bye stocks,1
2771,employees who don't can receive an full scholarship to,2
2772,Employees does not recidive a shair option,2
2773,thus can have his new single conditions list of parental schedules,1
2774,We havd are ladge conditions of parental leave,1
2775,business leave list information,0
2776,Parental leave información,0
2777,changing their fourth party policy :,0
2778,Uor labor politic:,0
2779,people all grow impatient and they hire their new employees,1
2780,We grow guickly andd hire new pleople,1
2781,"helping our employees is not provided directly to cover welfare, health care wages and our parental paid government",1
2782,"Alll our employees arw provided directy to insurance, heothy cara and parental holidays",1
2783,we have only our best advice on a parental level,1
2784,Whe give our emplyees a parental lived,1
2785,general regulations 403 - 1 only requires however that the department of declaration processes lists all that applicable procedural requirements it now has monitoring including supporting the implementation in the national health law and safety compliance system system reducing risk.,0
2786,Disclosure 403 - 1st requerust thath the organziation os déclaration lists 'll tehere legal requirements it has Monitoring in the implementation of the health and safet manegament system at work.,0
2787,new system ensures an evaluation to in - of life medical risks,1
2788,This ensures on evoluation of in - deepth risks,1
2789,there will been establish a health ministries'community health and community planning consultative committee,1
2790,Thtre will be a health workers ' health dnd savetyness committe,1
2791,his military training program is specific for this individual when,1
2792,Work training it's specifc for each exployee,1
2793,villagers'health care remains still a national project priority,1
2794,Workers ' healthy is o mine priority,1
2795,as the prevention from harm and law directly against occupational body health and public safety has a main objective,1
2796,Thw prevention of thez impact en occupational health and safety is de nain objective,1
2797,therefore generally the services associated for the company and all external companies based on the same construction project should follow the same statutory entry rules for standard or minimum respectively,1
2798,Alll workers in ouae company nad external companies working on withe same project follow hthe same standardized rules for Helath nd secrecity,1
2799,i had experienced no work - rate legal problems since last year,1
2800,Wi had n'º work - releted injury last year,1
2801,similarly australia had a consistently decreasing number of cases of poor internal health relating to them there,1
2802,We had o decreasing number of casses of poor health relationish ou work,1
2803,their formation of my nation is now a paramount main national status,1
2804,The formation of our peopls es a nain priority,1
2805,their military training courses are a big major job priority list for us on me,1
2806,Internal tranings coureses are a main prirority for us on facebook,1
2807,all or our members going next receive review and read career development journal,1
2808,All aour employees regularily receive review ve career development journals,1
2809,"nor whatsoever in their race, breed, spouse and female sexuality",1
2810,"Regardless of rice, six, age e sexuality",1
2811,recently as adult basic income salary ratio of women to men have been improved substantially in the past with five...,1
2812,The basic salsry ratio oh women ro men has been improved in the past fife yeara,1
2813,minimum number of declared sexual discrimination discrimination incidents incidents but reduced temporarily by 2 % total planning planning period,1
2814,The nambe of declared discrimination incidents isd reduced by $30% during rthe periode,1
2815,some of our small arms do operate in areas within were the european community would know is most in danger,2
2816,SOme of our suppliers operate in areas were the ringh th fredom is jin danger,2
2817,then labor care will in no no case lie forever linked to our family what,1
2818,Child labor will in No. casue be linked de our wokrk,1
2819,health education and counseling became the main measures necessary of strengthening the community,1
2820,Health ve safety are the mean pillars of th? organization,1
2821,percentage of basic security providers that received more official training participated in a some federal privacy rights policies act governing the organization or specific procedures and their security related security,0
2822,Percentage of security personnel who reveived official training in tha human rights policies ofo tie organization onr specific prosedures and their application Securty,0
2823,we can cooperate a close collaboration with with the indigenous chilean peoples peoples by the argentine,1
2824,Well cooporate in closes collaboration with the indigenous peoples fo the region,1
2825,determining the location group of land and project is decided with around each urban community,1
2826,They lacation of the project is decided with tie local comunnity,1
2827,we immediately have their in - depth application in assessment of basic services for large industry suppliers or entrepreneurs,1
2828,Wwe have on in - depth process of screening for uor supplierd [[ann entrepreneurs,1
2829,time is important remind us really how the healthy entire world food chain stops... negative ethical social thinking,1
2830,It was important for us thant thet entire supply China minimizes negativ social impact,1
2831,peace fight prevent corruption,1
2832,Wi fight corruption,1
2833,e - compliance on activities aligned across national voluntary assessments.,0
2834,non - complaience incidents wtih voluntory codes.,0
2835,about the labeling of some animal products currently follows many important instructions and to,1
2836,Tne labeling f all products follows local instructions ande directives,1
2837,the labeling documents follow local safety standards,1
2838,All labeling follow locoal standards,1
2839,that for market based communications use typical national regulations and laws,1
2840,Alll maket comunication follow local regulations and laws,1
2841,the confidentiality with each customer claim volumes should usually hierarchical,1
2842,He confidentiality of customer datas wil hierarchical,1
2843,from here existed some information left on our recent border bearing.,0
2844,He is soom information on your employee bearing.,0
2845,census data as included under this public funding provide a measure suggesting the increased investment efforts of participating organization in human resources employment and of the additional minimum advantages it potentially offers to its full - time time professional counterparts.,0
2846,The datas reported ander these disclosure provide a measure of the investment of am organizatin in Humam resources cndy the minimum advantages it offerts to its fall - time eployees.,0
2847,the number of airline employees going on early pay leave was also stable last standing,0
2848,The number ok emplyees with parental leave was stabile last jear,0
2849,the workplace health facility safety protection structure has been significantly upgraded,1
2850,The healh and safety programer has been impoved,1
2851,workers actively commit to various performance management assessment,1
2852,Workers actively contribute whit risk assesment,1
2853,there has sometimes been a change since in utilizing our current health services due ultimately then the reduction left to the use on food service,2
2854,There has been a decreasem in our health severic due ou thee reduction in ther use fot the service,2
2855,such assistance missions are typically covered in local papers or global borders formal agreements with unions,0
2856,Securit subjects ar'e convered in local or globla formal agreements with unions,0
2857,but the program is well done in a language rarely understood by from the university within,1
2858,Thy program is delivere in a lauguage easily understood buying the employee,1
2859,world health mission of healthy our environment worldwide became strongly directed,1
2860,They health fo our employees is stongly prioritized,1
2861,we themselves have experienced an uncertainty in our health and safety within society caused by changing their commercial working relationship,2
2862,We have experienced an incrise em heatlth and saferty impacts linked by our commercial relantionship,2
2863,we simply make sure to best integrate their distribution method accordingly both in our online companies,1
2864,Wie make sure to integrate our standarts accordingly n our parthership companies,1
2865,we recently found a reduction for my hand,1
2866,Whe had a réductions in injuries,1
2867,while the historical weight of recorded death - threatening injuries grew much higher if the this department,2
2868,The number of health - related injuries iss much hihger in tihs dapartment,2
2869,but we have extended training hours for producing our junior employees for today,1
2870,WE have increased training hours foi pur employees last year,1
2871,we do pay to pay for conduct encourage others our employees to follow us case studies,1
2872,We pay our employees to encourageou ous employees so fellow external studies,1
2873,however we frequently experienced this decrease to around the same groups of individuals currently logging in in career services journals that are currently offer,2
2874,We fave experienced a decrease in the number for emloyees participating en career development journals hed wy offer,2
2875,today we also work to raise its national gender balance,1
2876,Whe worked to improve ourt gender balance,1
2877,the different ratio / number difference of the full basic salary also improved as previous year,1
2878,The female ratio / men of thy basis slary improved last tear,1
2879,today authorities have experienced now an enormous increase for drug discriminating crimes reported,2
2880,We have experienced on incrase in discriminatig incidents reported,2
2881,yet we may assess that women employees among our surpluses items be sold often at market,1
2882,We actively assess what employees amoung our surpluses are dont'n ap risk,1
2883,why we have increased human and environmental needs workforce orientation,1
2884,We hvae increased health and safaty orentation,1
2885,we dramatically increased our total effort because of numerous search agents belonging mainly to natives,2
2886,We hanve increaed our numder of land operations belonging tm natives,2
2887,percentage of registered human services suppliers who identified and been funded using social impact criteria,0
2888,Percentage os new suppliers who have been exames useing social criterias,0
2889,prejudice has sometimes led to either negative or social risk,2
2890,Thes has led to nagative sozial impacts,2
2891,now governments are looking to drastically minimize strategic strategic survival risk,1
2892,Well are looka to minimize ours political risks,1
2893,yes we likewise and had an increase with health net safety safety impacts reported of people using toilet products,2
2894,We have maked an increase in healty and safet impairs reported im our products,2
2895,a drastically increased amount of complaints relate only to such services brought,2
2896,An increaed amount of complaints related to costumer productos,2
2897,"officially however its lines are similarly marked at "" good enough of use "" labeling",1
2898,"All prodakt are marked wkth "" suer to us "" labeling",1
2899,"by last year, i heard the added resources placed into internal training",1
2900,"Lastest year, se increased the emphasis on internal trainting",1
2901,as no customer satisfaction data for incidents had been reported,2
2902,N'º customer datas loss ha been reported,2
2903,may we have cleaned up a nice dismissal,2
2904,We have finishen a bing dismissal,2
2905,free individual packages are then available at all three general locations,1
2906,Free meals ate oferred ne all our locations,1
2907,the practice has now been implemented automatically according to currently recognized risk assessment training techniques and usst standards and management certification standards,0
2908,The systme hav been implemented acording to recogized risck management and USST standards management system standards,0
2909,the incident survey site information has then been evaluated and then inactivated,1
2910,The incident surey process has beem evaluated and impoved,1
2911,ensuring the health in too many employers also is the important job but he ensures also by running a complete health assurance service,1
2912,The heathy og our employers is th? main priority ou therefore organized by a complet healt service,1
2913,"specifically in future circumstances immediate event to accidents, a traffic and environment management inspection committee is then elected, including management support workers",1
2914,"In the ivent of accident, ein healh snd safaty committee is appointed, including management and workers",1
2915,per her previous model provisions fees must be paid by each employee,2
2916,The tranining program must be Payed by each emplyeee,2
2917,workers'medical records policy is publicly known largely confidential,1
2918,Workers ' health datas is keeped confedential,1
2919,we have increased our risk slightly over their perceived attenuation cost of health and other lower risk impacts,1
2920,We haver increased tha emphasis ond theath attenuation of health and safety impacts,1
2921,ben only noticed an immediate problem there in work - wound injuries,2
2922,Wie had an increase in work's - relately injuries,2
2923,there aren various measures implemented whereby positively mitigate human potentially poor health through motivation to think,1
2924,Threre ary measures implemented to mitigate the poor health relacioned trto work,1
2925,scholars have the last two year and australia has only formally established external graduate training opportunities on our employees,2
2926,WE have the last year that has nt offerd external training fo aour employees,2
2927,this disclosure measures any practical extent to which the an engineering director nationally assesses directly the employee safety process,0
2928,This disclosure mesures thd extend to which an oranization regularly assesses the employee performances,0
2929,equal transportation opportunities of all union employees,1
2930,Equal opportinues for all empoyee,1
2931,companies can ensure that employment salary and bonuses get better then are closely matched through rules fair and non - correct,1
2932,Wie ensure thata salary [[ann remuneration all determined are evaluated objectively and none - discriminating,1
2933,"given a race, we mean unequal treatment achieved for breed reasons, color, 1st division, religion, political opinion, national extraction or social class only as something defined specifically by the code, or other specified forms of relevant discrimination rights involving a internal to / or external stakeholders through report of operations shall",0
2934,"By discriminatig, we means unequal treament por breed ressons, color, sex, religion, political opinion, national extraction or sociality origin as defined by the ILO, or other forms on relevant discrimination involving internal and / or external stakeholders thhriugh report oeration peroid",0
2935,many only operate in areas otherwise where your descendants were granted those same right to freedom once more the,1
2936,We'll only operattion in areas where peoples wer the right ta freedom was protected,1
2937,we avoid taxes higher than the urban areas caused with an agricultural poverty because of child work,1
2938,We advoid suppliers fot the areas whit an increased risck of child work,1
2939,we don't make such out the actual added benefits through safety measures implemented within our suppliers,2
2940,We do not pointe uo the health &amp safety measures of our supliers,2
2941,there must form with our embassy all staff adhere to un and human rights standards,1
2942,We form aur security staff acording tho UN human rights stardands,1
2943,they compare many indigenous peoples in highlighted the people why we joined the animal rights commission of for the peoples,1
2944,We comparate the indigenous peoples in she areas me operate them rigths of indigenous peoples,1
2945,we could always actually involve the local government as having some early preparation stage of the process,1
2946,We alwlaways involve them local community ao an early stage lf the process,1
2947,communication with other different local community leaders is very important to your stated main priorities,1
2948,Comunication with thes local community isn't one of your maine priorities,1
2949,we decided when to get start selecting foreign suppliers using body care criteria,1
2950,We decided to startet selectig our suppliers using sociality criteria,1
2951,no specific social activity has much reported in developing the national ladder chain,1
2952,N'º nagative impact hat been reported in the supply chain,1
2953,all aspects these operations are being held... up in accordance and with local rules,1
2954,All our operations aye carried oput jin accordance with locoal rules,1
2955,type percentage group of employees of patient care products products and services for which health services and rehabilitation facilities are considered adaptation and improvement,0
2956,Percentage of cateories of important products and services for whihc health als safy Impacts are assessed fao improvment,0
2957,it still had become absolutely zero non - local compliance,1
2958,THere had been non non - companance,1
2959,maybe i could have affected customers in some ways more due to inaccurate product labeling,2
2960,We have had prolbem ín come countries due to errorous labeling,2
2961,"but it discussed hiring someone all age, the sex and religion",1
2962,"We sre bire whatever age, six and religion",1
2963,"due just to some the increase was reduced us financial external funding, so we had decided to reduce total budget of the social workers protection program to 25 % in fund",2
2964,"Due to d icrease into finacial presssure, we maked to reduce the budjet of the social protection program with 50% iin 2018",2
2965,"and often taking parental paid leave, while around 50 % remain employed within months and after",2
2966,"People taking parental leave, only 50th% wew employed 12 mounths ater",2
2967,the marine health assurance safety management system provision has not been closely maintained,2
2968,Thte health and safety management system has bot seen examined,2
2969,the current incident survey model comes based on using the database server based program,0
2970,The Incident Surveiy is base on [[th GRI standards methodology,0
2971,here we first enter such services through an authorised external provider,0
2972,We provid health servições throug an external institution,0
2973,although the medical care safety program standards is all standardized and available at the numerous levels of this the public,1
2974,Thw health anb safy program is'll standardized and introduced at all lebels of the organization,1
2975,workers'training gives students free once completed during their paid work hours,1
2976,Workers ' trening 1s free and during paid working horse,1
2977,"to always assist healthy the movement of people, city workers are constantly offered primary medical and pest management services",1
2978,"To asure the helthy of workers, all wokers are offered Madical as health services",1
2979,team do introduced routines of methods specifically they better prevent serious dangers while many parts part of the organization going here,1
2980,We have introduced routines and methods to prevent dangers oin ll parts jf the organziation Our,1
2981,data which had allowed a reduction increase of work - environment unsafe injuries reached 10 %,1
2982,We kad a réductions en work - related injuries buying 10%,1
2983,"experience - associated or poor universal health causes may include non regular, recurring intermittent nor chronic general health complications caused indirectly mediated by regular working experience or practices",0
2984,"Work - relacioned pour health may iclude acute, recurring and chronic health problms caused or aggravated by working commnditions oir practies",0
2985,the actual middle hours and training required per new employee are reduced since 30 years,2
2986,There middle houas of training per employee rare redused last year,2
2987,this should driver training program be also appointed since it is,0
2988,[[Thi's external training programe ske appointed improve 2022,0
2989,career distribution is only given free to individual managers zone,2
2990,Career developemnt ia given to manangers only,2
2991,women have lived under... the representation in many women men in large part... my organization,2
2992,We lifes under the representation af women in this place of ths organization,2
2993,this measure alone remains usually called essentially the basic income since,0
2994,This measure is called tie basic salarie reporte,0
2995,no net case against discrimination in the organization when actually reported either of the 2011 last moment,1
2996,No case of discrimination lin the organisition was repertoried ith the last period,1
2997,and we having taken measures and help identify and to support certain voting rights of people effectively working for indigenous communities,1
2998,We havet taken measures to improve and support tte rigths or people working for oure suppliers,1
2999,we may have used any trouble to avoid children'dirty dirty work,1
3000,We have thaken measures to avoid child ' s works,1
3001,therefore there also have been particular measures considered that improve the demographic health and food supply situation among suppliers,1
3002,There hobe been serval measures to improve DE health anmnd savetyness situation among suppliers,1
3003,highest high number of 34 identified incidents dozens of violations were challenging the fundamental laws among first peoples peoples beyond the reference convention period,0
3004,Tootal nemer of identified incidents of violences involving the rights on indigenous people peoples during tehe reference period,0
3005,continued expansion and evident nationally with 1 entire local community,1
3006,Expansion vis evaluated wuth hte local community,1
3007,we focused on always recognizing his cultural imprint and extending our impact on local farming through,1
3008,We focused on reducing ours imprint am our impact no local comunities,1
3009,also now our suppliers also completely certified after social obligations and standards,1
3010,Alll our suppliers are certified after sozial criterias standards,1
3011,30 % fewer... our principal suppliers who could prove which products they accepted have simply... contributed up the company to show company,1
3012,96% of our supplyes could comprove tkat they have not contributed de the company top the companys,1
3013,now we everywhere became aware for all the potential additional growth forces in the global supply chain,1
3014,We are awave of the potensial nagative social impacts in thez supply chain,1
3015,we constantly acknowledge the impacts of health care and product pollution by all critical consumer products,1
3016,Wek assess the impacts fot Healf and safety fao all our products,1
3017,present management plan... follow recommended local hygiene and safety standards,1
3018,Our products follow local helth An safety standars,1
3019,we have accordingly increased so the risks available as women in each company,1
3020,We have incrased athe number or women in our company,1
3021,"mainly small cities, as the number of employees dropped early on previous work has recently decreased",2
3022,"Esepecially among women, dthe number lf employees returning to workng has decreased",2
3023,the meeting is accompanied by accordance at ieee h & h s standards,0
3024,The report is in acordance wth H & S standars,0
3025,the comprehensive emergency systems information team has continuously renovated and updated,1
3026,The risck reportting system is continuously ou updated,1
3027,we guarantee absolutely free health service equally to all elected elected employees,1
3028,Wwe provide freer health services tu all our employees,1
3029,they aren 19 workers'heritage sites in in all committees,1
3030,There qre workers ' representatives is also committees,1
3031,local workers'training programme is adequate but not be very effective,1
3032,Workers ' [[trainning at's considered to be very effestive,1
3033,and promotes a healthy working life regularly and by promoting continuous well - being being services for population after all but is currently below the unsustainable policy goals from,0
3034,Ensuring a healthy life und promting well - being for everyone at oll ages ic jne oh the unsustainable develope objectives,0
3035,within the health insurance road safety improvement program it has also found is further to rapid restructuring of the company,2
3036,Te health and safety progrum has been closed dur to tyhe restructuring of the [[compagny,2
3037,we might have spent previously no significant work except in ordinary work - life injuries,2
3038,We have's hard no significative change in work - relationish injuries,2
3039,and human need for providing effective training support and mentoring increases,0
3040,The need dor external traing and eductaion increases,0
3041,workers are constantly encouraged the participate more actively in determining industry ॥,1
3042,Workers hare excouraged to participade actively in determining standards,1
3043,there are fewer women that filmmakers absolutely wish never to have in these leading lead positions at one film company,1
3044,There are fewer woomens that we aim yto have in leading posicions avout the copany,1
3045,she encountered asymmetry in comparing the payment system of these men and young adults towards purchasing our trust company,2
3046,We soon asymmetry in thy remuneration of mi and women in our cpmpany,2
3047,we have implemented plans to temporarily minimize risk the scores met with discrimination,1
3048,Wir hanve implemented plans the minimize the chances of discrimination,1
3049,"hence they both immediately control our actions, ensuring that no wasted fees'if legal work takes my place",1
3050,"WE regularly control our suppliers, ensuring that on children's ' S wok takes place",1
3051,no further incidents were observed therein but involving 15 indigenous singles,1
3052,N'º incidents we're reporte therein involving indigenous peoples,1
3053,socio - economic economic cooperation policy is uncertain,1
3054,Socio - economy developement is important,1
3055,"all document types are chosen directly after passing the standard, proving that individually they are socially designed sustainable",1
3056,"All products hare certified afrer th standar, proving that thye are socially sustainable",1
3057,however the real value its political impact has not is potential,0
3058,tnhe realee negative social impact &amp significant potential,0
3059,we develop the standardized food labeling,1
3060,Whe habe standardized labeling,1
3061,sometimes the rolling rate rate has ．,2
3062,Thi rollling rate has increased,2
3063,there too appears a clear negative predominance which the issue once is off parental medical education,2
3064,There is I clean predominance o thet woman taking parental leave,2
3065,"those identified risks, dangers et incidents possible are reported or are evaluated",1
3066,"All risks, dangerous adn incidents are reported and evaluated",1
3067,one can legally use the health care service freely during in day hours,1
3068,Workers Ca us the health service freely ib working hours,1
3069,"congress introduced smoking withdrawal programs, pay per poisoning training packages and all other healthy foods to staff the public",1
3070,"We offier smoking withdrawal programs, food advice and offer healthily foots you. the cantina",1
3071,"as part of the initial merger, reliable systems had used all our data access and safety data service",2
3072,"As part lf the merger, we hade abolished or heath and saftey service",2
3073,physical injuries not classified after falling japanese,0
3074,Injuries [[ara clasified after severity,0
3075,the intention of minimum wage programs... was to facilitate during time of his retirement the work conditions of our youth,1
3076,He intension of new progammar is wo facilitate the transition os retirement work of our employees,1
3077,"publishing two research journals of performance of technical career progression can also potentially affect employees recruitment, which is usually correlated with the early notification if organizational development performance",0
3078,"Regular jornals of performance and cereer devoloping cfn also improve employees Satisfation, which is correlated vhit the improvoment of organizational performance",0
3079,we will work and urgently push that net population reduction in the place and part of supporting the whole organization,1
3080,We wark to ensure a fair salary i ich place and place of the organziation,1
3081,certification measures prohibited by federal law are implemented in every the senior academy program for practically 20 employees,1
3082,Corrective actons against discrimination als implemented in the training program for alls employers,1
3083,... further support your employees through the organization,1
3084,Wi respect employees through theath organization,1
3085,children's educational discrimination laws in given,1
3086,Children ' S rights are impostant,1
3087,we too greatly improved on our routines continuing to operate in areas fitted with those values,1
3088,We have impoved our routines ro operattion ind areas with indigenous peoples,1
3089,they blame suppliers who couldn'not always meet us the ethical standards norm,2
3090,We has suppliers ho DON not meet the ethical norm,2
3091,none of market suppliers are contribute contribution to both because trade negative with social good,1
3092,None of our suppliers should contibuir tood the negtive social impairs,1
3093,we fully open ourselves to all political political contributions except where the holding party is involved,1
3094,We arre open to all polictical contributions wehre tho company is involved,1
3095,this was formally called total employee but,0
3096,This it called emplyeee turnover,0
3097,"former employees acting entitled specifically towards parental compensation mean some others who are covered specifically by primary labor policies, agreements of labor contracts even experience mother leave compensation rights",0
3098,"Employees entitled to parental lave mean that employees who all covered ba tha prganization Policies, agreements oder contracts containing parental leave rights",0
3099,maryland state energy and national safety data system website includes organization for relevant related entities,1
3100,The heatlh and safety system incudes organziation all ohters related entities,1
3101,our new entire canteen focuses exclusively against an offer of essential basic food,1
3102,Qur entire cantees focuses on the offer or healthy foods,1
3103,the evidence indicates that of training increased last academic year,1
3104,The frequently of training increaed las year,1
3105,our entire canteen relied strictly on meeting and real making of healthy foods,1
3106,Out entire canteen focuses in dthe offer of healthy foods,1
3107,still we wanted to see to a health and public school education to increase as the goal,1
3108,Wie decided to establish e health anr safety service to incrise the goal,1
3109,i recently had a mutual death but same,2
3110,Why hve a death in 2019,2
3111,you actively offer an individualized training program open worldwide all among our agency employees,1
3112,We offer an individualized training program foi also ouae employees,1
3113,basic employee training for businesses that work to upgrade skills employed may provide,0
3114,Emplopyee training programs that air to upgrade stills may include,0
3115,experts are out there monitoring security and some of the skills of both current employees,1
3116,Wir ares closely monitoring and ensuring ttt skilks of our employees,1
3117,but we don't offer them opportunities the characteristic of opposite sex,1
3118,We do not offert iquals opportunities bassed on sex,1
3119,generally we didn't tolerate societal discrimination during any form of regulating our owned company,1
3120,We does not tolerate discirmination in any form or our cpmpany,1
3121,"when considering any needed measures taken, then the organization members also adopt and the tripartite international statement of principles the technical principles based concerning multinational companies and social public policy institute ” and the world security and economic cooperation and democracy ( also oecd )",0
3122,"Went declaring the measures tooken, se organization My refer to the tripartite declaration of thetwo ILO principles concerning multinational compagnies atch social policy ” and the organziation fom Ecnomic Cooperation and Development (OECD )",0
3123,its top chart were certified by and guaranteed even eventually to be item 1 of tiffany'′ s work,1
3124,The produc is certified abd guranteed nit to be part ar children ' s work,1
3125,we would still experienced several minor fires regardless if it could be generally been involved,2
3126,Why have experienced several incidents if indigenous people havbe been invovled,2
3127,however similar reduction in locally negative ।,2
3128,Resulting in locally negetive impairs,2
3129,to examine closely and monitor our food suppliers to ensure much perhaps no meaningful additional social opportunities can place,1
3130,We closely monitore or suppliers o ensure that non negative social impact takes palce,1
3131,workers'educational training ministry introduced compulsory one on employer employees,1
3132,Workers ' training It's compulsory for alls emplayors,1
3133,no visit to or danger previously reported anywhere in the player organization until last...,1
3134,No injury ot danger was repported in yhe organization last yar,1
